    7505,       3,  216.65, 0.12068,  295.07,  885.22,2.7568e+05,  606.62,  1.5832
   21146,  2.2561,  300.61, 0.24506,  347.57,  784.16,2.4685e+05,  606.62,  1.4176
   59588,  1.5072,  417.12, 0.49767,  409.43,  617.08,2.2103e+05,  606.62,  1.2694
1.4799e+05, 0.69857,  552.68,  0.9328,  471.29,  329.23,2.0501e+05,  606.62,  1.1773
